Time	Tide level (m) in Yang river estuary	Salinity (ppt) in Yang river estuary	Time	Tide level (m) in Huangsuzhou river estuary	Salinity (ppt) in Huangsuzhou river estuary	Time	Tide level (m) in Pearl river estuary	Salinity (ppt) in Pearl river estuary	Time	Tide level (m) in Yanfeng river estuary	Bottom Salinity (ppt) in Yanfeng river estuary	Surface Salinity (ppt) in Yanfeng river estuary	Time	Tide level (m) in Oyster landing station	Salinity (ppt) in Oyster landing station	Time	Tide Level (m)-in a tidal creek close to Oyster Landing	Salinity (ppt)-in a tidal creek close to Oyster Landing
17/7/2015 00:00:00	4.00E-03	26.3934	19/12/2015 00:00:00	0.74	17.3958	31/8/2016 19:20:00	1.006	19.276	26/6/2010 19:00:00	1.259	14.79	14.555	10/1/2016 08:45:00	2.13	32.8	2018/8/9 16:00	175.4	34.17
17/7/2015 01:00:00	0	26.38	19/12/2015 00:30:00	0.73	17.385	31/8/2016 19:30:00	1.072	19.307	26/6/2010 19:30:00	1.36	16.33	16.25	10/1/2016 09:00:00	2.08	32.7	2018/8/9 17:00	203.4	34.305
17/7/2015 02:00:00	0.766	27.2083	19/12/2015 01:00:00	0.81	17.5546	31/8/2016 19:40:00	1.178	19.389	26/6/2010 20:00:00	1.454	17.565	17.27	10/1/2016 09:15:00	2.03	32.6	2018/8/9 18:00	234.8	35.5272
17/7/2015 03:00:00	1.942	27.9386	19/12/2015 01:30:00	0.986	17.9091	31/8/2016 19:50:00	1.286	19.467	26/6/2010 20:30:00	1.54	18.63	19.33	10/1/2016 09:30:00	1.97	32.5	2018/8/9 19:00	262.2	35.9964
17/7/2015 04:00:00	3.034	28.4333	19/12/2015 02:00:00	1.174	18.2419	31/8/2016 20:00:00	1.346	19.519	26/6/2010 21:00:00	1.625	19.76	20.645	10/1/2016 09:45:00	1.91	32.4	2018/8/9 20:00	267.8	36.4626
17/7/2015 05:00:00	3.586	28.6364	19/12/2015 02:30:00	1.258	18.416	31/8/2016 20:10:00	1.404	19.54	26/6/2010 21:30:00	1.696	20.78	21.565	10/1/2016 10:00:00	1.84	31.8	2018/8/9 21:00	250.6	36.5604
17/7/2015 06:00:00	3.422	28.6197	19/12/2015 03:00:00	1.234	18.3539	31/8/2016 20:20:00	1.472	19.597	26/6/2010 22:00:00	1.732	21.835	22.635	10/1/2016 10:15:00	1.78	30.8	2018/8/9 22:00	228.6	36.432
17/7/2015 07:00:00	2.878	28.5299	19/12/2015 03:30:00	1.148	18.1914	31/8/2016 20:30:00	1.526	19.622	26/6/2010 22:30:00	1.713	22.075	22.45	10/1/2016 10:30:00	1.71	28.7	2018/8/9 23:00	203.8	34.4832
17/7/2015 08:00:00	2.39	28.3452	19/12/2015 04:00:00	0.93	17.7862	31/8/2016 20:40:00	1.602	19.679	26/6/2010 23:00:00	1.639	21.51	18.09	10/1/2016 10:45:00	1.63	27.1	2018/8/10 0:00	170	32.4996
17/7/2015 09:00:00	1.998	28.1775	19/12/2015 04:30:00	0.764	17.4675	31/8/2016 20:50:00	1.642	19.69	26/6/2010 23:30:00	1.535	19.66	18.985	10/1/2016 11:00:00	1.57	24.8	2018/8/10 1:00	118	23.9994
17/7/2015 10:00:00	1.42	27.7995	19/12/2015 05:00:00	0.578	17.0669	31/8/2016 21:00:00	1.69	19.711	27/6/2010 00:00:00	1.42	18.29	17.845	10/1/2016 11:15:00	1.5	21.3	2018/8/10 2:00	95.4	18.1842
17/7/2015 11:00:00	0.696	27.2707	19/12/2015 05:30:00	0.444	16.7782	31/8/2016 21:10:00	1.74	19.736	27/6/2010 00:30:00	1.294	16.615	16.91	10/1/2016 11:30:00	1.42	19.7	2018/8/10 3:00	102.8	15.924
17/7/2015 12:00:00	0.296	26.8471	19/12/2015 06:00:00	0.364	16.6592	31/8/2016 21:20:00	1.762	19.736	27/6/2010 01:00:00	1.178	15.195	15.46	10/1/2016 11:45:00	1.35	19.1	2018/8/10 4:00	136	27.768
17/7/2015 13:00:00	0.534	27.0003	19/12/2015 06:30:00	0.288	16.5184	31/8/2016 21:30:00	1.798	19.757	27/6/2010 01:30:00	1.065	13.885	14.255	10/1/2016 12:00:00	1.27	19.1	2018/8/10 5:00	171	31.0164
17/7/2015 14:00:00	1.196	27.4585	19/12/2015 07:00:00	0.23	16.3994	31/8/2016 21:40:00	1.83	19.767	27/6/2010 02:00:00	0.959	12.77	13.02	10/1/2016 12:15:00	1.19	18.8	2018/8/10 6:00	201.8	34.1196
17/7/2015 15:00:00	2.11	28.0358	19/12/2015 07:30:00	0.152	16.208	31/8/2016 21:50:00	1.842	19.762	27/6/2010 02:30:00	0.848	11.69	11.97	10/1/2016 12:30:00	1.11	19.3	2018/8/10 7:00	230	34.5906
17/7/2015 16:00:00	2.974	28.4021	19/12/2015 08:00:00	0.084	16.0352	31/8/2016 22:00:00	1.858	19.762	27/6/2010 03:00:00	0.748	10.67	10.94	10/1/2016 12:45:00	1.02	19.2	2018/8/10 8:00	247.2	34.5906
17/7/2015 17:00:00	3.352	28.6167	19/12/2015 08:30:00	0.048	15.9411	31/8/2016 22:10:00	1.904	19.778	27/6/2010 03:30:00	0.641	9.625	9.84	10/1/2016 13:00:00	0.93	18.8	2018/8/10 9:00	236.6	35.082
17/7/2015 18:00:00	3.144	28.4836	19/12/2015 09:00:00	0.046	14.9088	31/8/2016 22:20:00	1.914	19.773	27/6/2010 04:00:00	0.536	8.49	8.695	10/1/2016 13:15:00	0.84	18.5	2018/8/10 10:00	218	35.0688
17/7/2015 19:00:00	2.572	28.3037	19/12/2015 09:30:00	0.072	15.0054	31/8/2016 22:30:00	1.89	19.736	27/6/2010 04:30:00	0.432	7.295	7.455	10/1/2016 13:30:00	0.75	18.7	2018/8/10 11:00	192.8	34.083
17/7/2015 20:00:00	1.882	27.9762	19/12/2015 10:00:00	0.202	15.3331	31/8/2016 22:40:00	1.91	19.742	27/6/2010 05:00:00	0.32	5.97	6.1	10/1/2016 13:45:00	0.67	18.4	2018/8/10 12:00	150.6	31.8312
17/7/2015 21:00:00	1.31	27.6156	19/12/2015 10:30:00	0.324	15.6243	31/8/2016 22:50:00	1.898	19.7	27/6/2010 05:30:00	0.221	4.78	4.905	10/1/2016 14:00:00	0.59	17.7	2018/8/10 13:00	106.6	24.0684
17/7/2015 22:00:00	0.694	27.0372	19/12/2015 11:00:00	0.424	15.8547	31/8/2016 23:00:00	1.894	19.69	27/6/2010 06:00:00	0.149	4.03	4.135	10/1/2016 14:15:00	0.52	17.5	2018/8/10 14:00	91	21.2646
17/7/2015 23:00:00	0.06	26.2758	19/12/2015 11:30:00	0.42	15.8406	31/8/2016 23:10:00	1.888	19.674	27/6/2010 06:30:00	0.093	3.745	3.915	10/1/2016 14:30:00	0.44	17	2018/8/10 15:00	102.2	19.8102
18/7/2015 00:00:00	0.026	26.287	19/12/2015 12:00:00	0.374	15.7434	31/8/2016 23:20:00	1.872	19.643	27/6/2010 07:00:00	0.093	3.57	3.745	10/1/2016 14:45:00	0.37	16	2018/8/10 16:00	140.6	33.2034
18/7/2015 01:00:00	0.016	26.3293	19/12/2015 12:30:00	0.336	15.671	31/8/2016 23:30:00	1.86	19.617	27/6/2010 07:30:00	0.149	3.51	3.715	10/1/2016 15:00:00	0.32	15.3	2018/8/10 17:00	181.6	34.9272
18/7/2015 02:00:00	0.014	26.2851	19/12/2015 13:00:00	0.35	15.7363	31/8/2016 23:40:00	1.862	19.597	27/6/2010 08:00:00	0.241	4.205	4.48	10/1/2016 15:15:00	0.27	15.5	2018/8/10 18:00	214.4	35.4462
18/7/2015 03:00:00	0.95	27.2794	19/12/2015 13:30:00	0.396	15.8477	31/8/2016 23:50:00	1.794	19.555	27/6/2010 08:30:00	0.325	5.98	6.24	10/1/2016 15:30:00	0.27	17.1	2018/8/10 19:00	253.8	35.5272
18/7/2015 04:00:00	2.166	28.0662	19/12/2015 14:00:00	0.578	16.2765	1/9/2016 00:00:00	1.79	19.519	27/6/2010 09:00:00	0.421	5.97	6.305	10/1/2016 15:45:00	0.3	16.3	2018/8/10 20:00	284.8	35.6556
18/7/2015 05:00:00	3.154	28.501	19/12/2015 14:30:00	0.8	16.7744	1/9/2016 00:10:00	1.74	19.472	27/6/2010 09:30:00	0.543	6.56	6.885	10/1/2016 16:00:00	0.34	16.9	2018/8/10 21:00	286.6	36.1176
18/7/2015 06:00:00	3.476	28.6114	19/12/2015 15:00:00	0.948	17.0778	1/9/2016 00:20:00	1.704	19.441	27/6/2010 10:00:00	0.685	7.89	8.31	10/1/2016 16:15:00	0.44	15.8	2018/8/10 22:00	265.8	36.1548
